Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,67.330002,67.919998,67.239998,67.709999,65.130836,461000
2017-01-17,67.360001,67.680000,66.889999,66.989998,64.438255,908800
2017-01-18,66.709999,67.290001,66.620003,67.250000,64.688362,777600
2017-01-19,67.059998,67.339996,66.489998,67.059998,64.505585,625000
2017-01-20,67.300003,67.580002,66.839996,67.360001,64.794174,637800
2017-01-23,67.059998,67.680000,66.669998,67.320000,64.755699,629700
2017-01-24,67.230003,68.290001,66.849998,67.949997,65.361694,647000
2017-01-25,68.089996,68.449997,67.699997,68.339996,65.736839,613800
2017-01-26,68.500000,68.900002,68.279999,68.830002,66.208176,623600
2017-01-27,68.919998,68.930000,68.099998,68.360001,65.756088,727600
2017-01-30,68.040001,68.260002,67.430000,68.180000,65.582939,762800
2017-01-31,68.360001,70.610001,67.260002,70.540001,67.853043,1482700
2017-02-01,70.470001,71.889999,70.290001,70.750000,68.055046,1340600
2017-02-02,70.669998,71.209999,70.029999,70.669998,67.978081,829700
2017-02-03,71.000000,71.000000,70.040001,70.339996,67.660652,974200
2017-02-06,70.050003,70.309998,69.599998,69.739998,67.083511,869800
2017-02-07,69.980003,70.139999,68.930000,69.360001,66.718002,1371200
2017-02-08,69.300003,69.379997,68.620003,68.879997,66.256271,996000
2017-02-09,69.320000,69.470001,68.809998,69.099998,66.467888,557600
2017-02-10,69.110001,70.000000,69.080002,69.769997,67.112366,877600
2017-02-13,69.790001,70.860001,69.440002,70.699997,68.006935,840300
2017-02-14,70.699997,71.040001,70.500000,70.779999,68.083900,682600
2017-02-15,71.029999,71.629997,70.510002,71.250000,68.536003,877000
2017-02-16,71.330002,71.589996,70.720001,71.339996,68.622566,879400
2017-02-17,71.129997,71.650002,70.800003,71.510002,68.786095,2710400
2017-02-21,71.599998,71.860001,71.269997,71.370003,68.651428,973300
2017-02-22,71.239998,71.760002,71.059998,71.239998,68.526375,825800
2017-02-23,71.430000,71.730003,71.169998,71.449997,68.728378,547300
2017-02-24,71.080002,71.790001,71.050003,71.449997,68.728378,871800
2017-02-27,71.570000,71.570000,70.919998,71.150002,68.439804,767200
2017-02-28,71.180000,71.330002,70.690002,71.110001,68.401329,1356000
2017-03-01,72.000000,72.519997,71.809998,72.180000,69.430573,1293700
2017-03-02,72.180000,72.339996,71.150002,71.250000,68.536003,892900
2017-03-03,71.209999,71.580002,70.680000,71.089996,68.382088,1104100
2017-03-06,70.809998,71.559998,70.629997,71.360001,68.641808,877400
